""	"SRR12534940"	"SRR12534942"	"SRR12534944"	"SRR12534946"	"SRR12534964"	"SRR12534966"	"SRR12534968"	"SRR12534970"
"aplf"	612	764	500	373	663	597	693	569
"apln"	2	0	2	1	4	2	4	6
"aplnr2"	0	0	0	0	0	0	0	0
"aplp2"	227	190	262	287	714	1044	1036	1373
"apoa1"	478	334	376	428	472	314	303	366
"apoa2"	467	437	495	463	437	498	444	391
"apoba"	104	149	134	129	101	126	104	114
"apobb.1"	1690	1852	1622	1302	1363	1537	1502	1061
"apobec2a"	0	3	0	1	0	1	1	1
"apoc1"	21	15	9	17	106	6192	27	8066
"apoc2"	0	1	0	0	0	0	0	1
"apod"	25	21	13	17	47	131	61	117
"apoda.1"	17	16	22	25	20	24	28	13
"apoeb"	28	105	34	95	363	26103	227	36892
"apof"	4	7	10	9	8	11	21	11
"apoh"	137	205	150	136	163	206	151	177
"apol"	58	72	49	71	144	248	138	383
"apol1"	68	49	46	68	71	120	61	130
"apom"	3	1	6	3	6	5	5	8
"apooa"	125	97	103	137	99	117	123	133
"apoob"	139	195	162	188	175	198	184	225
"apool"	4090	3874	4006	3762	3060	2836	3437	2426
"appa"	4728	3925	3845	4114	4556	5633	5441	4873
"appl1"	88	83	93	101	91	141	98	116
"appl2"	761	916	727	896	931	773	969	513
"apr3"	40	75	68	61	102	133	78	107
"aprin"	203	166	186	152	220	190	230	170
"aprt"	705	1041	747	844	840	753	997	893
"aptx"	655	486	423	500	483	457	435	326
"aqp1"	0	0	0	1	0	21	1	3
"aqp10b"	1	0	1	0	1	2	0	1
"aqp12"	67	79	70	52	78	127	61	99
"aqp3a"	6	6	4	9	13	6	10	10
"aqp3b"	5	5	0	0	1	6	5	6
"aqp4"	4	2	2	1	4	2	1	1
"aqp7"	5	9	6	1	8	20	15	32
"aqp8"	0	0	0	1	0	0	0	0
"aqp8a.1"	98	72	50	83	46	39	77	53
"aqp8a.2"	8	2	6	7	1	1	4	2
"aqr"	5105	4768	3932	4178	4353	3966	3789	3366
"araf"	612	620	788	654	723	918	985	595
"arap2"	4	119	21	20	30	65	28	88
"arc1a"	0	0	0	0	0	0	0	0
"arc1b"	652	1026	873	793	925	1802	1218	2440
